Channel,trl,rip_start,rip_end,rip_peak,rip_dur,entropy,surprise,meanEnt,rt,trl_num,subI
2,213,580,595,590,0.034,1.412031065,0.761840263,1.595856128,456,356,1
2,213,838,854,844,0.036,1.412031065,0.761840263,1.595856128,456,356,1
2,213,898,910,909,0.028,1.412031065,0.761840263,1.595856128,456,356,1
2,218,458,474,467,0.036,1.905639062,1.415037499,1.838032552,743,365,1
2,219,546,558,556,0.028,1.836591668,2.169925001,1.811885275,612,366,1
2,220,557,571,564,0.032,1.846439345,2.321928095,1.809451329,849,367,1
2,222,860,871,869,0.026,1.854285872,1.700439718,1.758195534,450,370,1
2,223,108,139,118,0.066,1.835237745,1.807354922,1.730489953,480,371,1
2,226,365,382,373,0.038,1.777984904,1.280107919,1.722586231,415,374,1
2,226,952,968,960,0.036,1.777984904,1.280107919,1.722586231,415,374,1
2,228,674,689,682,0.034,1.709526332,1.321928095,1.685848318,499,382,1
2,229,281,292,288,0.026,1.693027668,1.2410081,1.668676732,432,383,1
2,229,778,789,784,0.026,1.693027668,1.2410081,1.668676732,432,383,1
2,230,897,911,905,0.032,1.674942484,1.584962501,1.66341076,497,384,1
2,231,411,429,419,0.04,1.669909514,1.222392421,1.668057677,562,385,1
2,232,49,62,55,0.03,1.653338314,1.5360529,1.651696372,491,386,1
2,232,461,472,468,0.026,1.653338314,1.5360529,1.651696372,491,386,1
2,235,956,969,962,0.03,1.613104743,1.137503524,1.630952012,509,390,1
2,237,77,88,87,0.026,1.583109909,1.544320516,1.615496731,497,392,1
2,237,365,376,374,0.026,1.583109909,1.544320516,1.615496731,497,392,1
2,240,652,665,657,0.03,1.538148813,1,1.594767647,544,397,1
2,240,971,982,973,0.026,1.538148813,1,1.594767647,544,397,1
2,241,291,303,298,0.028,1.524594071,0.965234582,1.588644619,462,398,1
2,244,196,208,200,0.028,1.921928095,2.321928095,1.921928095,631,402,1
2,252,358,371,363,0.03,1.924174352,2.222392421,1.730489953,692,411,1
2,254,520,532,529,0.028,1.923794941,1.678071905,1.722827722,581,413,1
2,255,494,507,500,0.03,1.903967813,3.087462841,1.722586231,673,414,1
2,255,796,814,803,0.04,1.903967813,3.087462841,1.722586231,673,414,1
