subI,norm_count,entropy,time
7,6.428571429,1.6,-200
7,5.510204082,1.6,0
7,6.428571429,1.6,200
7,6.428571429,1.6,400
7,2.755102041,1.6,600
7,3.673469388,1.6,800
7,1.419354839,1.7,-1000
7,0,1.7,-800
7,2.129032258,1.7,-600
7,2.129032258,1.7,-400
7,2.129032258,1.7,-200
7,1.419354839,1.7,0
7,1.419354839,1.7,200
7,0.709677419,1.7,400
7,1.419354839,1.7,600
7,2.838709677,1.7,800
7,6.109090909,1.8,-1000
7,5.090909091,1.8,-800
7,3.054545455,1.8,-600
7,8.145454545,1.8,-400
7,2.036363636,1.8,-200
7,2.036363636,1.8,0
7,9.163636364,1.8,200
7,11.2,1.8,400
7,4.072727273,1.8,600
7,6.109090909,1.8,800
7,1.764705882,1.9,-1000
7,1.764705882,1.9,-800
7,3.529411765,1.9,-600
7,2.647058824,1.9,-400
7,4.411764706,1.9,-200
7,2.647058824,1.9,0
7,1.764705882,1.9,200
7,4.411764706,1.9,400
7,0.882352941,1.9,600
7,2.647058824,1.9,800
9,NaN,0.8,-1000
9,NaN,0.8,-800
9,NaN,0.8,-600
9,NaN,0.8,-400
9,NaN,0.8,-200
9,NaN,0.8,0
9,NaN,0.8,200
9,NaN,0.8,400
9,NaN,0.8,600
9,NaN,0.8,800
9,NaN,0.9,-1000
9,NaN,0.9,-800
9,NaN,0.9,-600
9,NaN,0.9,-400
9,NaN,0.9,-200
9,NaN,0.9,0
9,NaN,0.9,200
9,NaN,0.9,400
9,NaN,0.9,600
9,NaN,0.9,800
9,NaN,1,-1000
9,NaN,1,-800
9,NaN,1,-600
9,NaN,1,-400
9,NaN,1,-200
9,NaN,1,0
9,NaN,1,200
9,NaN,1,400
9,NaN,1,600
9,NaN,1,800
9,NaN,1.1,-1000
9,NaN,1.1,-800
9,NaN,1.1,-600
9,NaN,1.1,-400
9,NaN,1.1,-200
9,NaN,1.1,0
9,NaN,1.1,200
9,NaN,1.1,400
9,NaN,1.1,600
9,NaN,1.1,800
9,NaN,1.2,-1000
9,NaN,1.2,-800
9,NaN,1.2,-600
9,NaN,1.2,-400
9,NaN,1.2,-200
9,NaN,1.2,0
9,NaN,1.2,200
9,NaN,1.2,400
9,NaN,1.2,600
9,NaN,1.2,800
9,0,1.3,-1000
9,0,1.3,-800
9,0.235294118,1.3,-600
9,0.235294118,1.3,-400
9,0.235294118,1.3,-200
9,0,1.3,0
9,0,1.3,200
9,0.235294118,1.3,400
9,0,1.3,600
9,0,1.3,800
9,0.2,1.4,-1000
9,0.4,1.4,-800
9,0,1.4,-600
9,0,1.4,-400
9,0,1.4,-200
9,0,1.4,0
9,0,1.4,200
9,0,1.4,400
9,0.2,1.4,600
9,0,1.4,800
9,0,1.5,-1000
9,0,1.5,-800
9,0,1.5,-600
9,0,1.5,-400
9,0,1.5,-200
9,0.0625,1.5,0
9,0,1.5,200
9,0,1.5,400
9,0,1.5,600
9,0,1.5,800
9,0.881355932,1.6,-1000
9,0.881355932,1.6,-800
9,0.220338983,1.6,-600
9,0.220338983,1.6,-400
9,0,1.6,-200
9,0.220338983,1.6,0
9,0.220338983,1.6,200
9,0.220338983,1.6,400
9,0,1.6,600
9,0,1.6,800
9,0,1.7,-1000
9,0.235294118,1.7,-800
9,0.235294118,1.7,-600
9,0,1.7,-400
9,0,1.7,-200
9,0.117647059,1.7,0
9,0.235294118,1.7,200
9,0.235294118,1.7,400
9,0,1.7,600
9,0.352941176,1.7,800
9,0.072164948,1.8,-1000
9,0,1.8,-800
9,0.144329897,1.8,-600
9,0.072164948,1.8,-400
9,0,1.8,-200
9,0.072164948,1.8,0
9,0,1.8,200
9,0,1.8,400
9,0,1.8,600
9,0.144329897,1.8,800
9,0,1.9,-1000
9,0.153846154,1.9,-800
9,0.153846154,1.9,-600
9,0,1.9,-400
9,0,1.9,-200
9,0.153846154,1.9,0
9,0.307692308,1.9,200
9,0,1.9,400
9,0.307692308,1.9,600
9,0.153846154,1.9,800
10,0,0.8,-1000
10,0.375,0.8,-800
10,0.375,0.8,-600
10,0.375,0.8,-400
10,0,0.8,-200
10,0,0.8,0
10,0,0.8,200
10,0,0.8,400
10,0,0.8,600
10,0,0.8,800
10,0.5,0.9,-1000
10,0,0.9,-800
10,0.5,0.9,-600
10,0.5,0.9,-400
10,0,0.9,-200
10,0,0.9,0
10,0,0.9,200
10,0,0.9,400
10,0,0.9,600
10,0,0.9,800
10,0,1,-1000
10,0,1,-800
10,0,1,-600
10,0,1,-400
10,0.444444444,1,-200
10,0.444444444,1,0
10,0,1,200
10,0,1,400
10,0.444444444,1,600
10,0.444444444,1,800
10,0,1.1,-1000
10,0,1.1,-800
10,1,1.1,-600
10,0,1.1,-400
10,0,1.1,-200
10,2,1.1,0
10,1,1.1,200
10,0,1.1,400
10,0,1.1,600
10,0,1.1,800
10,NaN,1.2,-1000
10,NaN,1.2,-800
10,NaN,1.2,-600
10,NaN,1.2,-400
10,NaN,1.2,-200
10,NaN,1.2,0
10,NaN,1.2,200
10,NaN,1.2,400
10,NaN,1.2,600
10,NaN,1.2,800
10,0,1.3,-1000
10,0,1.3,-800
10,1,1.3,-600
10,3,1.3,-400
10,1,1.3,-200
10,2,1.3,0
10,0,1.3,200
10,0,1.3,400
10,0,1.3,600
10,0,1.3,800
10,0.466666667,1.4,-1000
10,0.466666667,1.4,-800
10,0,1.4,-600
10,0,1.4,-400
10,0.466666667,1.4,-200
10,0,1.4,0
10,0.466666667,1.4,200
10,0.933333333,1.4,400
10,0.466666667,1.4,600
10,0,1.4,800
10,0.72,1.5,-1000
10,0.36,1.5,-800
10,0.36,1.5,-600
10,0,1.5,-400
10,0.36,1.5,-200
10,0.36,1.5,0
10,0.72,1.5,200
10,0,1.5,400
10,0,1.5,600
10,0.36,1.5,800
10,2.875,1.6,-1000
10,0.958333333,1.6,-800
10,1.916666667,1.6,-600
10,1.916666667,1.6,-400
10,3.833333333,1.6,-200
10,3.833333333,1.6,0
10,0.958333333,1.6,200
10,0.958333333,1.6,400
10,0.958333333,1.6,600
10,3.833333333,1.6,800
10,0.75,1.7,-1000
10,0.75,1.7,-800
10,0.75,1.7,-600
10,0.75,1.7,-400
10,2.25,1.7,-200
10,3,1.7,0
10,1.5,1.7,200
10,0,1.7,400
10,0.75,1.7,600
10,0.75,1.7,800
10,0.377777778,1.8,-1000
10,0.755555556,1.8,-800
10,0.377777778,1.8,-600
10,0.377777778,1.8,-400
10,1.133333333,1.8,-200
10,0.755555556,1.8,0
10,0.377777778,1.8,200
10,0.377777778,1.8,400
10,0.377777778,1.8,600
10,1.511111111,1.8,800
10,0.368421053,1.9,-1000
10,0.736842105,1.9,-800
10,0.368421053,1.9,-600
10,0,1.9,-400
10,0.368421053,1.9,-200
10,0.368421053,1.9,0
10,0.368421053,1.9,200
10,0,1.9,400
10,0,1.9,600
10,0,1.9,800
11,NaN,0.8,-1000
11,NaN,0.8,-800
11,NaN,0.8,-600
11,NaN,0.8,-400
11,NaN,0.8,-200
11,NaN,0.8,0
11,NaN,0.8,200
11,NaN,0.8,400
11,NaN,0.8,600
11,NaN,0.8,800
11,NaN,0.9,-1000
11,NaN,0.9,-800
11,NaN,0.9,-600
